execution_id,account_id,workspace_id,device_id,actor_uid,tool_id,tool_version,action,status,error_code,duration_ms,started_at,completed_at,received_at,source,host_version,suite_version,device_platform,data_origin,expected_anomaly,synthetic_pattern,duration_seconds,log_duration,hour_of_day,day_of_week,hour_sin,hour_cos,day_sin,day_cos,model_id,anomaly_score,anomaly_threshold,is_anomaly,severity,baseline_mad_flag
exec_syn_001067,acct_demo_03,ws_production_a,dev_win_03,actor_demo_04,clean-vector-pro,3.6.0,CLEAN ART,success,,4403,2026-08-06T10:33:58.597Z,2026-08-06T10:34:03.000Z,2026-08-06T10:34:04.091Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,4.403,8.390268,10,4,0.500000,-0.866025,-0.433884,-0.900969,clean-vector-pro__CLEAN ART,0.396494,0.588939,false,low,false
exec_syn_001063,acct_demo_03,ws_production_a,dev_win_03,actor_demo_04,clean-vector-pro,3.6.0,CLEAN ART,success,,5448,2026-08-06T10:37:16.552Z,2026-08-06T10:37:22.000Z,2026-08-06T10:37:23.396Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,5.448,8.603187,10,4,0.500000,-0.866025,-0.433884,-0.900969,clean-vector-pro__CLEAN ART,0.420629,0.588939,false,low,false
exec_syn_001070,acct_demo_03,ws_production_a,dev_win_03,actor_demo_04,clean-vector-pro,3.6.0,CLEAN ART,success,,4188,2026-08-06T12:50:38.812Z,2026-08-06T12:50:43.000Z,2026-08-06T12:50:43.795Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,4.188,8.340217,12,4,0.000000,-1.000000,-0.433884,-0.900969,clean-vector-pro__CLEAN ART,0.393326,0.588939,false,low,false
exec_syn_001069,acct_demo_03,ws_production_a,dev_win_03,actor_demo_04,clean-vector-pro,3.6.0,CLEAN ART,success,,4402,2026-08-06T13:13:57.598Z,2026-08-06T13:14:02.000Z,2026-08-06T13:14:03.440Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,4.402,8.390041,13,4,-0.258819,-0.965926,-0.433884,-0.900969,clean-vector-pro__CLEAN ART,0.395917,0.588939,false,low,false
exec_syn_001065,acct_demo_01,ws_prepress_a,dev_win_01,actor_demo_01,clean-vector-pro,3.6.0,CLEAN ART,success,,2915,2026-08-06T14:51:14.085Z,2026-08-06T14:51:17.000Z,2026-08-06T14:51:18.338Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,2.915,7.977968,14,4,-0.500000,-0.866025,-0.433884,-0.900969,clean-vector-pro__CLEAN ART,0.517508,0.588939,false,low,false
exec_syn_001057,acct_demo_02,ws_finishing_a,dev_mac_01,actor_demo_03,clean-vector-pro,3.6.0,CLEAN ART,success,,3200,2026-08-06T15:10:00.800Z,2026-08-06T15:10:04.000Z,2026-08-06T15:10:04.651Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal,3.200,8.071219,15,4,-0.707107,-0.707107,-0.433884,-0.900969,clean-vector-pro__CLEAN ART,0.457839,0.588939,false,low,false
exec_syn_001072,acct_demo_03,ws_production_a,dev_win_03,actor_demo_04,clean-vector-pro,3.6.0,CLEAN ART,success,,5343,2026-08-06T16:56:01.657Z,2026-08-06T16:56:07.000Z,2026-08-06T16:56:07.426Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,5.343,8.583730,16,4,-0.866025,-0.500000,-0.433884,-0.900969,clean-vector-pro__CLEAN ART,0.420829,0.588939,false,low,false
exec_syn_001074,acct_demo_01,ws_prepress_b,dev_win_02,actor_demo_02,clean-vector-pro,3.6.0,CLEAN ART,failure,VALIDATION_FAILED,5098,2026-08-07T08:50:26.902Z,2026-08-07T08:50:32.000Z,2026-08-07T08:50:32.884Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,5.098,8.536800,8,5,0.866025,-0.500000,-0.974928,-0.222521,clean-vector-pro__CLEAN ART,0.409151,0.588939,false,low,false
exec_syn_001080,acct_demo_02,ws_finishing_a,dev_mac_01,actor_demo_03,clean-vector-pro,3.6.0,CLEAN ART,success,,3477,2026-08-07T08:50:58.523Z,2026-08-07T08:51:02.000Z,2026-08-07T08:51:02.870Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal,3.477,8.154213,8,5,0.866025,-0.500000,-0.974928,-0.222521,clean-vector-pro__CLEAN ART,0.436616,0.588939,false,low,false
exec_syn_001079,acct_demo_02,ws_finishing_a,dev_mac_01,actor_demo_03,clean-vector-pro,3.6.0,CLEAN ART,failure,PROCESSING_FAILED,2841,2026-08-07T10:22:15.159Z,2026-08-07T10:22:18.000Z,2026-08-07T10:22:18.269Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal,2.841,7.952263,10,5,0.500000,-0.866025,-0.974928,-0.222521,clean-vector-pro__CLEAN ART,0.523530,0.588939,false,low,false
exec_syn_001084,acct_demo_02,ws_finishing_a,dev_mac_01,actor_demo_03,clean-vector-pro,3.6.0,CLEAN ART,success,,4117,2026-08-07T11:58:44.883Z,2026-08-07T11:58:49.000Z,2026-08-07T11:58:50.195Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal,4.117,8.323123,11,5,0.258819,-0.965926,-0.974928,-0.222521,clean-vector-pro__CLEAN ART,0.394465,0.588939,false,low,false
exec_syn_001088,acct_demo_01,ws_prepress_b,dev_win_02,actor_demo_02,clean-vector-pro,3.6.0,CLEAN ART,success,,3032,2026-08-07T13:42:27.968Z,2026-08-07T13:42:31.000Z,2026-08-07T13:42:32.415Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,3.032,8.017308,13,5,-0.258819,-0.965926,-0.974928,-0.222521,clean-vector-pro__CLEAN ART,0.485306,0.588939,false,low,false
exec_syn_001075,acct_demo_01,ws_prepress_a,dev_win_01,actor_demo_01,clean-vector-pro,3.6.0,CLEAN ART,success,,3626,2026-08-07T14:10:29.374Z,2026-08-07T14:10:33.000Z,2026-08-07T14:10:34.292Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,3.626,8.196161,14,5,-0.500000,-0.866025,-0.974928,-0.222521,clean-vector-pro__CLEAN ART,0.425832,0.588939,false,low,false
exec_syn_001078,acct_demo_02,ws_finishing_a,dev_mac_01,actor_demo_03,clean-vector-pro,3.6.0,CLEAN ART,success,,4069,2026-08-07T15:09:41.931Z,2026-08-07T15:09:46.000Z,2026-08-07T15:09:46.561Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal,4.069,8.311398,15,5,-0.707107,-0.707107,-0.974928,-0.222521,clean-vector-pro__CLEAN ART,0.391063,0.588939,false,low,false
exec_syn_001077,acct_demo_03,ws_production_a,dev_win_03,actor_demo_04,clean-vector-pro,3.6.0,CLEAN ART,success,,3978,2026-08-07T16:43:07.022Z,2026-08-07T16:43:11.000Z,2026-08-07T16:43:11.930Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,3.978,8.288786,16,5,-0.866025,-0.500000,-0.974928,-0.222521,clean-vector-pro__CLEAN ART,0.392139,0.588939,false,low,false
exec_syn_001085,acct_demo_02,ws_finishing_a,dev_mac_01,actor_demo_03,clean-vector-pro,3.6.0,CLEAN ART,success,,3340,2026-08-07T17:43:19.660Z,2026-08-07T17:43:23.000Z,2026-08-07T17:43:24.264Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal,3.340,8.114025,17,5,-0.965926,-0.258819,-0.974928,-0.222521,clean-vector-pro__CLEAN ART,0.448080,0.588939,false,low,false
exec_syn_001094,acct_demo_02,ws_finishing_a,dev_mac_01,actor_demo_03,clean-vector-pro,3.6.0,CLEAN ART,success,,4747,2026-08-08T10:44:01.253Z,2026-08-08T10:44:06.000Z,2026-08-08T10:44:06.718Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal,4.747,8.465479,10,6,0.500000,-0.866025,-0.781831,0.623490,clean-vector-pro__CLEAN ART,0.395083,0.588939,false,low,false
exec_syn_001103,acct_demo_01,ws_prepress_b,dev_win_02,actor_demo_02,clean-vector-pro,3.6.0,CLEAN ART,success,,4948,2026-08-08T12:30:45.052Z,2026-08-08T12:30:50.000Z,2026-08-08T12:30:50.562Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,4.948,8.506941,12,6,0.000000,-1.000000,-0.781831,0.623490,clean-vector-pro__CLEAN ART,0.419668,0.588939,false,low,false
exec_syn_001097,acct_demo_02,ws_finishing_a,dev_mac_01,actor_demo_03,clean-vector-pro,3.6.0,CLEAN ART,success,,2657,2026-08-08T12:35:46.343Z,2026-08-08T12:35:49.000Z,2026-08-08T12:35:50.008Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal,2.657,7.885329,12,6,0.000000,-1.000000,-0.781831,0.623490,clean-vector-pro__CLEAN ART,0.568640,0.588939,false,low,false
exec_syn_001101,acct_demo_01,ws_prepress_b,dev_win_02,actor_demo_02,clean-vector-pro,3.6.0,CLEAN ART,success,,3347,2026-08-08T13:13:55.653Z,2026-08-08T13:13:59.000Z,2026-08-08T13:13:59.756Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,3.347,8.116118,13,6,-0.258819,-0.965926,-0.781831,0.623490,clean-vector-pro__CLEAN ART,0.446587,0.588939,false,low,false
exec_syn_001096,acct_demo_01,ws_prepress_b,dev_win_02,actor_demo_02,clean-vector-pro,3.6.0,CLEAN ART,success,,4536,2026-08-08T13:28:03.464Z,2026-08-08T13:28:08.000Z,2026-08-08T13:28:08.579Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,4.536,8.420021,13,6,-0.258819,-0.965926,-0.781831,0.623490,clean-vector-pro__CLEAN ART,0.402293,0.588939,false,low,false
exec_syn_001098,acct_demo_01,ws_prepress_a,dev_win_01,actor_demo_01,clean-vector-pro,3.6.0,CLEAN ART,success,,4561,2026-08-08T13:28:35.439Z,2026-08-08T13:28:40.000Z,2026-08-08T13:28:40.755Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,4.561,8.425516,13,6,-0.258819,-0.965926,-0.781831,0.623490,clean-vector-pro__CLEAN ART,0.401559,0.588939,false,low,false
exec_syn_001090,acct_demo_01,ws_prepress_a,dev_win_01,actor_demo_01,clean-vector-pro,3.6.0,CLEAN ART,success,,3356,2026-08-08T14:38:23.644Z,2026-08-08T14:38:27.000Z,2026-08-08T14:38:28.044Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,3.356,8.118803,14,6,-0.500000,-0.866025,-0.781831,0.623490,clean-vector-pro__CLEAN ART,0.443568,0.588939,false,low,false
exec_syn_001108,acct_demo_02,ws_finishing_a,dev_mac_01,actor_demo_03,clean-vector-pro,3.6.0,CLEAN ART,success,,6327,2026-08-09T11:12:21.673Z,2026-08-09T11:12:28.000Z,2026-08-09T11:12:28.585Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal,6.327,8.752740,11,0,0.258819,-0.965926,0.000000,1.000000,clean-vector-pro__CLEAN ART,0.453928,0.588939,false,low,false
exec_syn_001106,acct_demo_03,ws_production_a,dev_win_03,actor_demo_04,clean-vector-pro,3.6.0,CLEAN ART,success,,4865,2026-08-09T12:34:22.135Z,2026-08-09T12:34:27.000Z,2026-08-09T12:34:28.377Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,4.865,8.490028,12,0,0.000000,-1.000000,0.000000,1.000000,clean-vector-pro__CLEAN ART,0.405641,0.588939,false,low,false
exec_syn_001112,acct_demo_02,ws_finishing_a,dev_mac_01,actor_demo_03,clean-vector-pro,3.6.0,CLEAN ART,success,,6225,2026-08-09T13:46:22.775Z,2026-08-09T13:46:29.000Z,2026-08-09T13:46:30.186Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal,6.225,8.736489,13,0,-0.258819,-0.965926,0.000000,1.000000,clean-vector-pro__CLEAN ART,0.438222,0.588939,false,low,false
exec_syn_001117,acct_demo_01,ws_prepress_a,dev_win_01,actor_demo_01,clean-vector-pro,3.6.0,CLEAN ART,success,,4829,2026-08-09T14:53:16.171Z,2026-08-09T14:53:21.000Z,2026-08-09T14:53:22.154Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,4.829,8.482602,14,0,-0.500000,-0.866025,0.000000,1.000000,clean-vector-pro__CLEAN ART,0.404002,0.588939,false,low,false
exec_syn_001113,acct_demo_02,ws_finishing_a,dev_mac_01,actor_demo_03,clean-vector-pro,3.6.0,CLEAN ART,success,,3776,2026-08-09T15:01:07.224Z,2026-08-09T15:01:11.000Z,2026-08-09T15:01:11.261Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal,3.776,8.236685,15,0,-0.707107,-0.707107,0.000000,1.000000,clean-vector-pro__CLEAN ART,0.427418,0.588939,false,low,false
exec_syn_001109,acct_demo_01,ws_prepress_a,dev_win_01,actor_demo_01,clean-vector-pro,3.6.0,CLEAN ART,success,,4065,2026-08-09T15:10:57.935Z,2026-08-09T15:11:02.000Z,2026-08-09T15:11:02.545Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,4.065,8.310415,15,0,-0.707107,-0.707107,0.000000,1.000000,clean-vector-pro__CLEAN ART,0.391418,0.588939,false,low,false
exec_syn_001122,acct_demo_03,ws_production_a,dev_win_03,actor_demo_04,clean-vector-pro,3.6.0,CLEAN ART,success,,3439,2026-08-10T10:01:32.561Z,2026-08-10T10:01:36.000Z,2026-08-10T10:01:37.295Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,3.439,8.143227,10,1,0.500000,-0.866025,0.781831,0.623490,clean-vector-pro__CLEAN ART,0.431900,0.588939,false,low,false
exec_syn_001128,acct_demo_02,ws_finishing_a,dev_mac_01,actor_demo_03,clean-vector-pro,3.6.0,CLEAN ART,success,,4197,2026-08-10T10:48:11.803Z,2026-08-10T10:48:16.000Z,2026-08-10T10:48:17.062Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal,4.197,8.342364,10,1,0.500000,-0.866025,0.781831,0.623490,clean-vector-pro__CLEAN ART,0.392524,0.588939,false,low,false
exec_syn_001133,acct_demo_01,ws_prepress_a,dev_win_01,actor_demo_01,clean-vector-pro,3.6.0,CLEAN ART,success,,3867,2026-08-10T11:31:31.133Z,2026-08-10T11:31:35.000Z,2026-08-10T11:31:35.341Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,3.867,8.260493,11,1,0.258819,-0.965926,0.781831,0.623490,clean-vector-pro__CLEAN ART,0.392626,0.588939,false,low,false
exec_syn_001130,acct_demo_01,ws_prepress_a,dev_win_01,actor_demo_01,clean-vector-pro,3.6.0,CLEAN ART,success,,4870,2026-08-10T11:41:20.130Z,2026-08-10T11:41:25.000Z,2026-08-10T11:41:26.458Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,4.870,8.491055,11,1,0.258819,-0.965926,0.781831,0.623490,clean-vector-pro__CLEAN ART,0.405329,0.588939,false,low,false
exec_syn_001132,acct_demo_01,ws_prepress_a,dev_win_01,actor_demo_01,clean-vector-pro,3.6.0,CLEAN ART,success,,4998,2026-08-10T12:12:19.002Z,2026-08-10T12:12:24.000Z,2026-08-10T12:12:24.902Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,4.998,8.516993,12,1,0.000000,-1.000000,0.781831,0.623490,clean-vector-pro__CLEAN ART,0.419342,0.588939,false,low,false
exec_syn_001121,acct_demo_02,ws_finishing_a,dev_mac_01,actor_demo_03,clean-vector-pro,3.6.0,CLEAN ART,success,,4387,2026-08-10T14:09:28.613Z,2026-08-10T14:09:33.000Z,2026-08-10T14:09:34.270Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal,4.387,8.386629,14,1,-0.500000,-0.866025,0.781831,0.623490,clean-vector-pro__CLEAN ART,0.397284,0.588939,false,low,false
exec_syn_001129,acct_demo_01,ws_prepress_b,dev_win_02,actor_demo_02,clean-vector-pro,3.6.0,CLEAN ART,success,,4018,2026-08-10T14:11:56.982Z,2026-08-10T14:12:01.000Z,2026-08-10T14:12:02.131Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,4.018,8.298788,14,1,-0.500000,-0.866025,0.781831,0.623490,clean-vector-pro__CLEAN ART,0.385513,0.588939,false,low,false
exec_syn_001124,acct_demo_03,ws_production_a,dev_win_03,actor_demo_04,clean-vector-pro,3.6.0,CLEAN ART,success,,5055,2026-08-10T14:12:30.945Z,2026-08-10T14:12:36.000Z,2026-08-10T14:12:36.830Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,5.055,8.528331,14,1,-0.500000,-0.866025,0.781831,0.623490,clean-vector-pro__CLEAN ART,0.410284,0.588939,false,low,false
